 5.78417802e-02 4.48746921e-01 4.93411299e-01
 5.53892674e-02 7.69934217e-01 1.74676515e-01
 2.57630778e-01 3.71929258e-01 3.70439964e-01
 4.27585304e-01 2.86877434e-01 2.85537263e-01
 2.01033994e-01 1.31143879e-01 6.67822126e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00
 7.10941482e-01 1.70945870e-01 1.18112648e-01
 1.98026441e-02 4.36872421e-01 5.43324935e-01
 3.15126690e-01 4.21536295e-01 2.63337014e-01
 7.42553718e-02 7.26917161e-01 1.98827467e-01
 9.11000994e-02 7.58523160e-01 1.50376740e-01
 1.65538196e-01 3.58370114e-01 4.76091690e-01
 1.83222885e-01 6.65839375e-01 1.50937740e-01
 3.43646507e-01 1.48085663e-01 5.08267830e-01
 2.61944443e-01 4.05318227e-01 3.32737330e-01
